Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk,Rank,Reign(total),Defenses,ex_champ
Devin Clark,30,72.0471,Brown Bear,3 3,9 3,Light heavyweight,1,9 ,3,3,3,3.0,1.0,5.0,135.0,35.0,43.0,213.0,366.0,13.0,29.0,3.43,3.13,3.14,0.24,40.0,83.0,0.48,10:21,98.0,54.0,61.0,,,,False
Justin Ledet,30,75.9841,El Blanco,3 2,9 2 (1 NC),Light heavyweight,1,9 ,2  ,3,2,2.0,5.0,2.0,161.0,0.0,3.0,164.0,393.0,1.0,2.0,3.47,4.34,0.32,0.32,49.0,40.0,0.00,11:49,160.0,3.0,1.0,,,,False
Gadzhimurad Antigulov,32,70.866,,2 2,20 6,Light heavyweight,1,20, 6,2,2,,,,9.0,2.0,3.0,14.0,26.0,,,1.78,5.45,9.51,3.81,22.0,0.0,02:38,11:49,160.0,3.0,1.0,,,,False
Tyson Pedro,27,75.19669999999998,,3 3,7 3,Light heavyweight,1,7 ,3,3,3,2.0,5.0,0.0,62.0,22.0,26.0,110.0,175.0,2.0,8.0,2.7,2.55,0.74,1.47,48.0,53.0,0.74,06:48,66.0,31.0,13.0,,,,False
Saparbek Safarov,32,72.8345,,1 2,9 2,Light heavyweight,1,9 ,2,1,2,6.0,2.0,0.0,96.0,10.0,9.0,115.0,239.0,2.0,12.0,4.29,3.1,2.8,0.0,47.0,10.0,0.00,08:56,55.0,9.0,51.0,,,,False
Paul Craig,31,75.9841,BearJew,3 3,11 3,Light heavyweight,1,11, 3,3,3,1.0,10.0,0.0,39.0,29.0,47.0,115.0,251.0,3.0,36.0,1.91,2.82,1.74,1.49,46.0,50.0,0.00,10:03,76.0,31.0,8.0,,,,False
Bojan Mihajlovic,39,70.866,,0 3,10 6,Light heavyweight,1,10, 6,0,3,4.0,2.0,4.0,7.0,10.0,9.0,26.0,73.0,,1.0,1.23,5.95,0.0,0.0,48.0,33.0,0.00,07:04,21.0,5.0,0.0,,,,False
Volkan Oezdemir,29,74.01559999999998,No Time,3 3,15 4,Light heavyweight,1,15, 4,3,3,11.0,1.0,3.0,161.0,45.0,43.0,249.0,537.0,,9.0,4.73,4.3,0.57,0.0,56.0,75.0,0.29,08:46,185.0,38.0,26.0,7.0,,,False
Dominick Reyes,29,75.9841,The Devastator,5 0,11 0,Light heavyweight,1,11, 0,5,0,6.0,2.0,2.0,94.0,47.0,46.0,187.0,359.0,1.0,6.0,5.05,2.27,0.4,0.4,58.0,86.0,1.21,07:25,137.0,31.0,19.0,5.0,,,False
Eryk Anders,32,74.01559999999998,Ya Boy,3 4,11 4,Light heavyweight,1,11, 4,3,4,7.0,1.0,3.0,212.0,4.0,57.0,273.0,540.0,6.0,29.0,3.12,3.89,2.05,0.17,49.0,67.0,0.68,14:36,158.0,65.0,50.0,,,,False
Abdul-Kerim Edilov,27,75.19669999999998,,1 0,17 4,Light heavyweight,1,17, 4,1,0,,,,59.0,2.0,16.0,77.0,125.0,,,10.22,0.13,3.98,1.99,92.0,0.0,07:32,14:36,158.0,65.0,50.0,,,,False
Aleksandar Rakic,27,77.1652,,3 0,11 1,Light heavyweight,1,11, 1,3,0,7.0,1.0,2.0,122.0,34.0,25.0,181.0,339.0,3.0,5.0,5.31,1.61,1.32,0.0,51.0,88.0,0.88,11:22,79.0,14.0,88.0,,,,False
Gokhan Saki,35,72.0471,The Rebel,1 1,1 2,Light heavyweight,1,1 ,2,1,1,1.0,0.0,0.0,37.0,6.0,2.0,45.0,77.0,,,7.09,4.57,0.0,0.0,53.0,10.0,4.72,03:11,44.0,1.0,0.0,,,,False
Marcin Prachnio,30,75.19669999999998,,0 2,13 4,Light heavyweight,1,13, 4,0,2,,,,4.0,10.0,4.0,18.0,46.0,,,2.39,2.92,0.0,0.0,52.0,0.0,03:46,03:11,44.0,1.0,0.0,,,,False
Magomed Ankalaev,26,74.01559999999998,,2 1,10 1,Light heavyweight,1,10, 1,2,1,5.0,0.0,5.0,68.0,7.0,26.0,101.0,190.0,,3.0,3.05,1.33,0.45,0.0,67.0,83.0,0.91,11:03,46.0,16.0,39.0,,,,False
Mike Rodriguez,30,75.19669999999998,Slow,1 1,10 3,Light heavyweight,1,10, 3,1,1,7.0,2.0,0.0,42.0,4.0,29.0,75.0,108.0,,,4.17,3.56,0.0,0.0,29.0,42.0,1.67,09:00,27.0,32.0,16.0,,,,False
Darko Stosic,27,72.0471,,1 0,13 1,Light heavyweight,1,13, 1,1,0,0.0,0.0,0.0,8.0,1.0,0.0,9.0,16.0,,,2.8,1.24,0.0,0.0,75.0,10.0,0.00,03:13,1.0,0.0,8.0,,,,False
Ryan Spann,27,77.1652,Superman,1 0,15 5,Light heavyweight,1,15, 5,1,0,3.0,10.0,2.0,38.0,0.0,8.0,46.0,97.0,,,3.07,2.67,0.0,1.0,44.0,67.0,0.00,15:00,23.0,5.0,18.0,,,,False
Johnny Walker,27,77.1652,,3 0,17 3,Light heavyweight,1,17, 3,3,0,14.0,2.0,1.0,17.0,3.0,1.0,21.0,27.0,,,7.5,20.71,0.0,0.0,29.0,10.0,16.07,00:56,10.0,3.0,8.0,13.0,,,False
Jimmy Crute,24,74.01559999999998,The Brute,2 0,10 0,Light heavyweight,1,10, 0,2,0,3.0,3.0,3.0,16.0,1.0,0.0,17.0,38.0,1.0,1.0,1.14,3.57,1.01,4.04,52.0,57.0,0.00,14:51,2.0,0.0,15.0,,,,False
Alonzo Menifield,31,72.0471,,1 0,8 0,Light heavyweight,1,8 ,0,1,0,6.0,1.0,0.0,32.0,1.0,0.0,33.0,60.0,,,8.39,4.83,0.0,0.0,50.0,78.0,3.81,03:56,24.0,0.0,9.0,,,,False
Klidson Abreu,26,74.01559999999998,Urso Branco,0 1,14 3,Light heavyweight,1,14, 3,0,1,0.0,0.0,0.0,10.0,5.0,8.0,23.0,62.0,,5.0,1.53,2.0,0.0,0.0,55.0,67.0,0.00,15:00,16.0,7.0,0.0,,,,False
Nicolae Negumereanu,24,72.8345,Nicu,0 1,9 1,Light heavyweight,1,9 ,1,0,1,6.0,3.0,0.0,5.0,3.0,3.0,11.0,27.0,,,0.73,4.67,0.0,0.0,19.0,40.0,0.00,15:00,7.0,4.0,0.0,,,,False
Kennedy Nzechukwu,26,77.1652,,0 1,6 1,Light heavyweight,1,6 ,1,0,1,4.0,0.0,2.0,33.0,0.0,7.0,40.0,72.0,,,2.79,7.67,0.0,0.0,56.0,87.0,0.00,14:20,11.0,7.0,22.0,,,,False
Anderson Silva,44,74.01559999999998,The Spider,17 5 (1 NC),34 9 (1 NC),Middleweight,2,34, 9 ,17, 5 ,22.0,4.0,8.0,432.0,179.0,160.0,771.0,1285.0,3.0,4.0,3.09,3.14,0.18,0.36,62.0,69.0,1.08,10:51,509.0,120.0,142.0,15.0,"2,457",1.0,True
Luke Rockhold,34,75.19669999999998,,9 3,16 4,Middleweight,2,16, 4,9,3,6.0,8.0,2.0,194.0,51.0,66.0,311.0,555.0,5.0,11.0,4.91,4.67,1.18,1.42,59.0,68.0,0.47,07:02,166.0,19.0,126.0,2.0,175,0.0,True
CB Dollaway,35,74.01559999999998,The Doberman,11 9,17 9,Middleweight,2,17, 9,11, 9,0.0,0.0,0.0,288.0,56.0,92.0,436.0,918.0,37.0,71.0,2.65,2.58,3.55,1.18,54.0,63.0,0.27,08:15,248.0,59.0,129.0,,,,False
Ronaldo Souza,39,72.8345,Jacaré,12 5,26 7 (1 NC),Middleweight,2,26, 7 ,12, 5,8.0,14.0,4.0,216.0,23.0,83.0,322.0,605.0,13.0,44.0,3.16,5.43,1.91,1.18,64.0,54.0,0.44,08:29,176.0,49.0,97.0,,,,False
David Branch,37,72.8345,,4 5,22 6,Middleweight,2,22, 6,4,5,6.0,7.0,9.0,65.0,31.0,41.0,137.0,344.0,11.0,43.0,1.66,1.91,2.55,0.0,57.0,44.0,0.18,09:09,68.0,48.0,21.0,,,,False
